URI,name,text
"<http://dbpedia.org/resource/Digby_Morrell>","Digby Morrell","digby morrell born 10 october 1979 is a former australian rules footballer who played with the kangaroos and carlton in the australian football league aflfrom western australia morrell played his early senior football for west perth his 44game senior career for the falcons spanned 19982000 and he was the clubs leading goalkicker in 2000 at the age of 21 morrell was recruited to the australian football league by the kangaroos football club with its third round selection in the 2001 afl rookie draft as a forward he twice kicked five goals during his time with the kangaroos the first was in a losing cause against sydney in 2002 and the other the following season in a drawn game against brisbaneafter the 2003 season morrell was traded along with david teague to the carlton football club in exchange for corey mckernan he played 32 games for the blues before being delisted at the end of 2005 he continued to play victorian football league vfl football with the northern bullants carltons vflaffiliate in 2006 and acted as playing assistant coach in 2007 in 2008 he shifted to the box hill hawks before retiring from playing at the end of the season from 2009 until 2013 morrell was the senior coach of the strathmore football club in the essendon district football league leading the club to the 2011 premier division premiership since 2014 he has coached the west coburg football club also in the edflhe currently teaches physical education at parade college in melbourne"
"<http://dbpedia.org/resource/Alfred_J._Lewy>","Alfred J. Lewy","alfred j lewy aka sandy lewy graduated from university of chicago in 1973 after studying psychiatry pharmacology and ophthalmology he is a full professor and vicechair of the department of psychiatry at ohsu oregon health science university and holds an md and phd prior to moving to oregon in 1981 lewy was at the national institute of mental health nimh in bethesda maryland working with senior colleague thomas wehr in oregon he has worked closely with robert l sack as of december 2005 he had 94 publications available on pubmed he describes his research as follows my laboratory studies chronobiologic sleep and mood disorders these disorders include winter depression jet lag maladaptation to shift work and certain types of sleep disturbances relying on a very precise assay for plasma melatonin a hormone that has a clearly defined 24hour pattern of secretion biological rhythm disorders can be assessed and their treatment can be monitored current research is focused on developing bright light exposure and melatonin administration as treatment modalities for these disorders treatment must be precisely scheduled morning light exposure and evening melatonin administration cause circadian phaseadvance shifts evening light exposure and morning melatonin administration cause circadian phasedelay shifts totally blind individuals have 25hour circadian rhythms drifting an hour later each day unless they take a melatonin capsule at a certain time every day"
"<http://dbpedia.org/resource/Harpdog_Brown>","Harpdog Brown","harpdog brown is a singer and harmonica player who has been active in canadas blues scene since 1982 hailing from vancouver he crossed tens of thousands of miles playing club dates and festivals in canada the northwestern united states and germanyover the years he has issued seven cds in 1995 his home is where the harp is won the muddy award for the best nw blues release from the cascade blues association in portland oregon as well that year it was nominated for a canadian juno for the best bluesgospel recording teamed up with graham guest on piano his cd naturally was voted 1 canadian blues album of 2010 by the blind lemon surveybrown tours extensively with his guitarist j arthur edmonds performing their electric mid1950s chicago blues either as a duo or with the full band while he is home he juggles a few combos working many venues big and small he also leads the harpdog brown band which is a gutsy traditional chicago blues band in 2014 they released what it is comprising mainly original songs and a few classic covers influential blues promoter and broadcaster holger petersen called what it is browns best albumhe was just awarded the maple blues award in toronto for best harmonica player in canada 2014 and was honored with a life time membership to the hamilton blues society"
"<http://dbpedia.org/resource/Franz_Rottensteiner>","Franz Rottensteiner","franz rottensteiner born in waidmannsfeld lower austria austria on 18 january 1942 is an austrian publisher and critic in the fields of science fiction and the fantasticrottensteiner studied journalism english and history at the university of vienna receiving his doctorate in 1969 he served about fifteen years as librarian and editor at the sterreichisches institut fr bauforschung in vienna in addition he produced a number of translations into german of leading sf authors including herbert w franke stanislaw lem philip k dick kobo abe cordwainer smith brian w aldiss and the strugatski brothersin 1973 his new york anthology view from another shore of european science fiction introduced a number of continental authors to the englishreading public some of the authors in the work are stanislaw lem josef nesvadba gerard klein and jeanpierre andrevonthe year 1975 saw the start of his series die phantastischen romane for seven years it republished works of both lesser and betterknown writers as well as new ones ending with a total of 28 volumes in the years 19791985 he brought out trnaslations of h g wellss works in an eighteen volumes seriesrottensteiner provoked some controversy with his negative assessment of american science fiction what matters is the highest achievements and there the us has yet to produce a figure comparable to hg wells olaf stapledon karel apek or stanisaw lem rottensteiner describedroger zelazny barry n malzberg and robert silverberg as producing travesties of fiction and stated asimov is a typical nonwriter and heinlein and andersonare just banal however rottensteiner praised philip k dick listing him as one of the greatest sf writers from 1980 through 1998 he was advisor for suhrkamp verlags phantastische bibliothek which brought out some three hundred books in all he has edited about fifty anthologies produced two illustrated books the science fiction book 1975 und the fantasy book 1978 as well as working on numerous reference works on science fiction his close association with and promotion of lem until 1995 was a factor in the recognition of the latter in the united statesrottensteiner has been the editor of quarber merkur the leading german language critical journal of science fiction since 1963 in 2004 on the occasion of the hundredth number of this journal he was awarded a special kurdlawitzpreis"
"<http://dbpedia.org/resource/G-Enka>","G-Enka","henry krvits born 30 december 1974 in tallinn better known by his stagename genka is an estonian rapper and record producergenka started rapping in 1996 along with revo and dj paul oja who was genkas schoolmate together they started a band called toe tag their first album the real kuhnja homophobes was released next year in 1998 genka and revo joined another estonian rap group arhm and toe tag went on vacation also genka started making his own solo songs the most famous hit was tallinn which was rapped along with droopy in 2001 during the same year toe tag came back together and started a big estonian tour in 2004 toe tag released their second studio album legendaarne legendary which consisted of 18 songs the most famous songs from the album were legendaarne and pankrot bankruptcy in 2006 genka and arhm released their new album leegion which had 23 songs the most famous songs from this album were palmisaar palm island and tugitooli gangster armchair gangstergenka and dj paul oja started their own record company legendaarne records also genka and arhm were the warmup performers for 50 cent on his 2007 europe promo tour for the curtis album in tallinn"
"<http://dbpedia.org/resource/Sam_Henderson>","Sam Henderson","sam henderson born october 18 1969 is an american cartoonist writer and expert on american comedy historyhenderson was born in woodstock new york he attended boiceville new yorks onteora high school graduating in 1987 and the school of visual arts in new york city where he graduated in 1991henderson has been selfpublishing xeroxed minicomics since 1980 in the midtolate 1980s he drew and published a comic called captain spaz with his friend bobby weiss the series ended in 1988 as he was busy in college in college he drew a series of minicomics featuring a character known as monroe simmons in 1993 he began selfpublishing his bestknown title the magic whistle now published by alternative comics also in 1993 he began the wordless comic strip scene but not heard starring a pink man and a red bear in nickelodeon magazine it was the magazines longestrunning comic strip a collection is due out in 2010in their review of magic whistle bigger larger and bigger the san antonio expressnews wrote that hendersons crude blobby little scratchings are some of the funniest junk being turned out henderson was nominated for the harvey awards special award for humor every year from 19992004in 2003 hendersons writing and storyboard directing work on spongebob squarepants earned him a nomination for best animated program for programming less than one hour in the 55th emmy awardshis earliest comic which was reprinted in magic whistle number 4 contained 5009 toilets 5009 penises sic and 5009 asses henderson currently lives in his hometown of woodstock new yorksince march 2010 hendersons comic magic whistle has been published weekly in niblit comics journal"
"<http://dbpedia.org/resource/Aaron_LaCrate>","Aaron LaCrate","aaron lacrate is an american music producer recording artist dj fashion designer of milkcrate records and milkcrate clothing and a film director he was born in baltimore maryland and grew up in highlandtown east baltimoreaaron lacrate is credited for popularizing baltimore music and culture on a world wide level via his music and clothing in 2009 aaron lacrate produced the first ever baltimore club platinum record for pop star dizzee rascals song road ragehbo commissioned milkcrate athletics and aaron lacrate to create the official fashion range for the baltimore based cable television series the wire this was first time that hbo collaborated with a streetwear fashion designer milkcrate athletics is baltimores first original streetwear brandaaron lacrate productions is credited for the early success of lily allen amanda blank spank rock mndr eliza doolittleat the age of 10 lacrate began experimenting with diy culture lacrate began djing at baltimore nightclubs house parties writing graffiti and even started making custom tshirts his first studio was in his basement where he created mixtapes and tshirts sold throughout baltimore lacrate was the youngest working dj in baltimore prior to attending syracuse university where he took over the campus music scene he spent his summers in new york city interning for def jam recordings payday and rocafella records helping launch jayzs classic reasonable doubt lacrate also played a vital role in the hard knock life tour and later produced the exclusive jay z x milkcrate fade to black collaboration tshirtin 1999 aaron lacrate and milkcrate athletics sponsored a highly successful series of live shows at nyc nightclub tramps featuring eminems first nyc show tribe called quest rakim slick ricks first show upon being released from prison outkast wutang clan epmd ultramagnetic mcs and many other historical performanceslacrate has produced and remixed official major label commissioned music for madonna gorillaz soulja boy tell em dizzee rascal young mc lily allen and the cool kids tracks from lacrates album bmore gutter music released in 2005 was used by marc jacobs in a fashion showlacrate has toured with lily allen mark ronson dizzee rascal rakim and most recently kanye west aaron has developed exclusive specialedition fashion collaborations with vans colette paris rakim hbo the wire jayz and cashmere king lucien pellatfinet lacrate has also collaborated with cocacola hbo delicious vinyl dazed confused and ferrariwhich ferrari his music has been featured on hbo the wire entourage life support dj hero videogame and on the soundtrack to observe and report starring seth rogenrecently lacrate released the first bmore major label record bmore club crack which features mr vegas eliza doolittle and local baltimore gutter artists including mz streamz and verb"
"<http://dbpedia.org/resource/Trevor_Ferguson>","Trevor Ferguson","trevor ferguson aka john farrow born 11 november 1947 is a canadian novelist who lives in hudson quebec he is the author of nine novels and four plays he has been called canadas best novelist both in books in canada and the toronto starborn in seaforth huron county ontario in 1947 he was raised in montreal from the age of three in his midteens he gravitated towards canadas northwest where he worked on railway gangs and also began to write working at night in the bunkhousesin his early twenties he travelled and worked throughout europe and the united states before returning to montreal to write he settled into driving a taxi by night and writing by day until the publication of his first novel high water chants in 1977 which dennis lee called one of the best in the language his second novel onyx john in 1985 received arguably the highest critical acclaim in the history of canadian literature leon rooke called it one of the five best novels of the twentieth century sixteen years later the novel would become a bestseller in france indeed his work is highly regarded in france where hes often cited as being one of the worlds preeminent writersextraordinary praise also awaited the publication of his third novel the kinkajou the timekeeper won the hugh maclennan prize for fiction and was developed into a film 1 a ninth novel river city was published in 2011 and the paperback at 1000 pages in 2012 the option for it to be a miniseries has been agreed upon as of november 2013 trevor fergusons next novel will be the river burns published by simon and schuster in april 2014city of ice written under the penname john farrow has been published in 17 countries the vancouver sun called the book the best ever produced in canada in genre fiction the second in the series ice lake caused the new york library journal booklist to claim that the series is among the very best in crime fiction today die ziet a major cultural newspaper in germany declared the series the best of all time river city was the third of the three and was equally well received a new trilogy of john farrow crime novels the storm murders has been sold to thomas dunne booksst martins press in new york the first will appear in 2015in 2002 trevor fergusons first play long long short long was produced by infinitheatre dir guy sprung in montreal and has become the first english play in history to be nominated by lacadmie qubcoise du theatre for a masque award for best text it returned to the stage in french in the fall of 2005 at place des arts in montreal and was seen by more than 20000 people his second play beach house burnt sienna was chosen to commemorate the tenth anniversary of village theatre west in hudson in 2002 coproduced with infinitheatre dir guy sprung it enjoyed a highly successful run a third play barnacle wood was produced in montreal also by infinitheatre in march 2004 his fourth play zarathustra said some things no opens with the bridge theatre company at studio 54 in new york city in april 2006 ferguson is a past chair of the writers union of canada he has been a writerinresidence at the university of alberta an invit dhonneur at the salon des livres in montreal and he was among the quebec authors invited as special guests of the paris book fair in 1999 in 2002 he was one of the few canadian writers invited to the festival of the americas in paris also in 2002 he served on the faculty of the may writers studio at the banff centre for the arts he frequently teaches creative writing at concordia university"
"<http://dbpedia.org/resource/Grant_Nelson>","Grant Nelson","grant nelson born 27 april 1971 in london also known as wishdokta bump flex and nng is an english dj remixer and record producernelson is heralded as one of the godfathers of uk garage due to his numerous club hits on his nice n ripe record label in the early 1990s it was his sound along with a few others that gave birth to the then known as sunday scene which evolved into uk garagehe also produced under the name wishdokta from 19901993 when he was producing breakbeat hardcoredrum and bass for the legendary london label kickin records in 1993 wishdokta teamed up with dj vibes and together they delivered some of happy hardcores biggest anthems on vibes asylum music inc and other labels including happy traxin 1997 nelson started using the alterego bump flex and began to produce uk 2step he delivered some of the scenes biggest records including funk on ah roll by james brown nelson has always remained a house head since his early nice n ripe days and continues to do so to the present with his swing city records label that consistently delivers top drawer house musicsome of the artists nelson has remixed and worked with include kelis jodeci misteeq aaliyah james brown the artful dodger jamiroquai lutricia mcneal thelma houston another level goldie roy ayers guy rosie gaines juliet roberts liberty x towa tei evelyn champagne king bebel gilberto negrocan beverley knight brand new heavies faithless simply red frankie knuckles and agnes"
"<http://dbpedia.org/resource/Cathy_Caruth>","Cathy Caruth","cathy caruth born 1955 is frank h t rhodes professor of humane letters at cornell university and is appointed in the departments of english and comparative literature she taught previously at yale and at emory university where she helped build the department of comparative literature she received her phd from yale university in 1988 and is the author of empirical truths and critical fictions locke wordsworth kant freud johns hopkins up 1991 unclaimed experience trauma narrative and history johns hopkins up 1996 literature in the ashes of history johns hopkins up 2013 and listening to trauma conversations with leaders in the theory and treatment of catastrophic experience johns hopkins up forthcoming 2014 she is also editor of trauma explorations in memory johns hopkins up 1995 and coeditor with deborash esch of critical encounters reference and responsibility in deconstructive writing rutgers university press 1995 robert jay lifton md describes her as one of the most innovative scholars on what we call trauma and on our ways of perceiving and conceptualizing that still mysterious phenomenon for a good discussion of both caruths work on trauma theory see roger luckhurst the trauma question and shoshana felman the juridical unconscious trials and traumas in the twentieth century harvard university press 2002 pp 173182 n3"
